lvl1_cat,lvl2_cat,lvl3_cat,url
"Home, Furniture & Appliances",Furniture,Bedroom Furniture,https://www.walmart.com/cp/bedroom-furniture/102547
"Home, Furniture & Appliances",Furniture,TV Stands & Entertainment Centers,https://www.walmart.com/cp/tv-stands-entertainment-centers/635499
"Home, Furniture & Appliances",Furniture,Kids' Furniture,https://www.walmart.com/cp/kids-furniture/1155958
"Home, Furniture & Appliances",Furniture,Office Furniture,https://www.walmart.com/cp/office-furniture/97116
"Home, Furniture & Appliances",Furniture,Mattresses & Accessories,https://www.walmart.com/cp/mattresses-accessories/539386
"Home, Furniture & Appliances",Furniture,Living Room Furniture,https://www.walmart.com/cp/living-room-furniture/4038
"Home, Furniture & Appliances",Furniture,Small Space Furniture,https://www.walmart.com/browse/home/small-space-furniture/4044_103150_1225290
"Home, Furniture & Appliances",Furniture,Entryway Furniture,https://www.walmart.com/cp/shop-by-room-entryway/6532243
"Home, Furniture & Appliances",Furniture,Kitchen & Dining Furniture,https://www.walmart.com/cp/kitchen-dining-furniture/4037
"Home, Furniture & Appliances",Furniture,Patio Furniture,https://www.walmart.com/cp/patio-furniture/91416
"Home, Furniture & Appliances",Mattresses,Twin Mattresses,https://www.walmart.com/browse/home/twin-mattresses/4044_103150_539386_9682013_4706569
"Home, Furniture & Appliances",Mattresses,Queen Mattresses,https://www.walmart.com/browse/home/queen-mattresses/4044_103150_539386_9682013_7235340
"Home, Furniture & Appliances",Mattresses,Full Mattresses,https://www.walmart.com/browse/home/full-mattresses/4044_103150_539386_9682013_1872812
"Home, Furniture & Appliances",Mattresses,King Mattresses,https://www.walmart.com/browse/home/king-mattresses/4044_103150_539386_9682013_7117230
"Home, Furniture & Appliances",Mattresses,Twin-XL Mattresses,https://www.walmart.com/browse/home/twin-xl-mattresses/4044_103150_539386_9682013_5191936
"Home, Furniture & Appliances",Mattresses,Memory Foam Mattresses,https://www.walmart.com/browse/home/memory-foam-mattresses/4044_103150_539386_414609
"Home, Furniture & Appliances",Mattresses,Innerspring Mattresses,https://www.walmart.com/browse/home/innerspring-mattresses/4044_103150_539386_4398143
"Home, Furniture & Appliances",Mattresses,Hybrid Mattresses,https://www.walmart.com/browse/home/hybrid-mattresses/4044_103150_539386_1231583
"Home, Furniture & Appliances",Mattresses,Gel Mattresses,https://www.walmart.com/browse/home/gel-foam-mattresses/4044_103150_539386_8319348
"Home, Furniture & Appliances",Mattresses,Latex Mattresses,https://www.walmart.com/browse/home/latex-foam-mattresses/4044_103150_539386_5311718
"Home, Furniture & Appliances",Kitchen & Dining,Kitchen Appliances,https://www.walmart.com/browse/home/kitchen-appliances/4044_90548_90546
"Home, Furniture & Appliances",Kitchen & Dining,Dining & Entertaining,https://www.walmart.com/cp/dining-entertaining/639999
"Home, Furniture & Appliances",Kitchen & Dining,Dinnerware Sets,https://www.walmart.com/browse/home/dinnerware-sets/4044_623679_639999_489706
"Home, Furniture & Appliances",Kitchen & Dining,Cookware,https://www.walmart.com/cp/cookware/6182459
"Home, Furniture & Appliances",Kitchen & Dining,Bakeware,https://www.walmart.com/browse/home/bakeware/4044_623679_8455465
"Home, Furniture & Appliances",Kitchen & Dining,Kitchen Storage,https://www.walmart.com/browse/home/kitchen-storage-organization/4044_623679_1032619
"Home, Furniture & Appliances",Kitchen & Dining,Kitchen Tools & Gadgets,https://www.walmart.com/cp/tools-gadgets/133020
"Home, Furniture & Appliances",Kitchen & Dining,Cutlery,https://www.walmart.com/browse/home/cutlery/4044_623679_4809470
"Home, Furniture & Appliances",Kitchen & Dining,Kitchen & Table Linens,https://www.walmart.com/browse/home/kitchen-table-linens/4044_623679_8055732
"Home, Furniture & Appliances",Kitchen & Dining,Kitchen Renovation,https://www.walmart.com/cp/kitchen-renovation/1071485
"Home, Furniture & Appliances",Storage & Organization,Storage Containers,https://www.walmart.com/browse/home/storage-containers/4044_90828_1230056
"Home, Furniture & Appliances",Storage & Organization,Shelving,https://www.walmart.com/browse/home/shelving/4044_90828_163960
"Home, Furniture & Appliances",Storage & Organization,Closet Organizers,https://www.walmart.com/browse/home/closet-organizers/4044_90828_1230061
"Home, Furniture & Appliances",Storage & Organization,Laundry Storage,https://www.walmart.com/browse/home/laundry-storage-organization/4044_90828_7067220
"Home, Furniture & Appliances",Storage & Organization,Drawers & Carts,https://www.walmart.com/browse/home/drawers-carts/4044_90828_925639
"Home, Furniture & Appliances",Storage & Organization,Garage Storage,https://www.walmart.com/cp/garage-storage/1067618
"Home, Furniture & Appliances",Storage & Organization,Kids & Teen Storage,https://www.walmart.com/browse/home/kids-teen-storage/4044_90828_2523133
"Home, Furniture & Appliances",Storage & Organization,Sheds & Outdoor Storage,https://www.walmart.com/cp/sheds-outdoor-storage/8018905
"Home, Furniture & Appliances",Storage & Organization,Office Supplies,https://www.walmart.com/browse/home/office-storage/4044_90828_1230064
"Home, Furniture & Appliances",Appliances,Coffee & Espresso Makers,https://www.walmart.com/browse/home/coffee-espresso-makers/4044_90548_90546_1115306
"Home, Furniture & Appliances",Appliances,Microwaves,https://www.walmart.com/browse/home/microwaves/4044_90548_90546_132950
"Home, Furniture & Appliances",Appliances,Mixers & Attachments,https://www.walmart.com/browse/home/mixers-attachments/4044_90548_90546_3995183
"Home, Furniture & Appliances",Appliances,Toasters & Ovens,https://www.walmart.com/browse/home/toasters-ovens/4044_90548_90546_90774
"Home, Furniture & Appliances",Appliances,Slow Cookers,https://www.walmart.com/browse/home/slow-cookers/4044_90548_90546_4829
"Home, Furniture & Appliances",Appliances,Blenders,https://www.walmart.com/browse/home/blenders/4044_90548_90546_4831
"Home, Furniture & Appliances",Appliances,Pressure Cookers,https://www.walmart.com/browse/home/pressure-cookers/4044_90548_90546_3206242
"Home, Furniture & Appliances",Appliances,Food Prep and Processors,https://www.walmart.com/browse/home/food-prep-processors/4044_90548_90546_4813
"Home, Furniture & Appliances",Appliances,Fryers,https://www.walmart.com/browse/home/fryers/4044_90548_90546_4824
"Home, Furniture & Appliances",Appliances,Refrigerators,https://www.walmart.com/browse/home/refrigerators/4044_90548_9963786
"Home, Furniture & Appliances",Appliances,Freezers,https://www.walmart.com/browse/home/freezers/4044_90548_6828819
"Home, Furniture & Appliances",Appliances,Washers & Dryers,https://www.walmart.com/browse/home/washers-dryers/4044_90548_3295848
"Home, Furniture & Appliances",Appliances,Dishwashers,https://www.walmart.com/browse/home/dishwashers/4044_90548_9158521
"Home, Furniture & Appliances",Appliances,Ovens & Ranges,https://www.walmart.com/browse/home/ovens-ranges/4044_90548_5776430
"Home, Furniture & Appliances",Appliances,Vacuums & Floor Care,https://www.walmart.com/browse/home/vacuums-steamers-floor-care/4044_90548_4047
"Home, Furniture & Appliances",Appliances,"Irons, Steamers & Accessories",https://www.walmart.com/browse/home/irons-steamers-accessories/4044_90548_9936560
"Home, Furniture & Appliances",Appliances,"Heating, Cooling & Air Quality",https://www.walmart.com/cp/heating-cooling-air-quality/133032
"Home, Furniture & Appliances",Appliances,Specialty Appliances,https://www.walmart.com/browse/home/specialty-appliances/4044_90548_90546_133025
"Home, Furniture & Appliances",Appliances,Appliance Parts & Accessories,https://www.walmart.com/browse/home/appliances-parts-accessories/4044_90548_1231929
"Home, Furniture & Appliances",Home Decor,Picture Frames,https://www.walmart.com/browse/home/picture-frames/4044_133012_672579
"Home, Furniture & Appliances",Home Decor,Throw Pillows,https://www.walmart.com/browse/home/throw-pillows/4044_133012_5991909
"Home, Furniture & Appliances",Home Decor,Decorative Accents,https://www.walmart.com/browse/home/decorative-accents/4044_133012_9145990
"Home, Furniture & Appliances",Home Decor,Mirrors,https://www.walmart.com/browse/home/mirrors/4044_133012_7256585
"Home, Furniture & Appliances",Home Decor,Wall Art,https://www.walmart.com/browse/home/wall-art/4044_133012_1045881
"Home, Furniture & Appliances",Home Decor,Clocks,https://www.walmart.com/browse/home/clocks/4044_133012_642059
"Home, Furniture & Appliances",Home Decor,Wall Decor,https://www.walmart.com/cp/wall-decor/5208936
"Home, Furniture & Appliances",Home Decor,Decorative Throws,https://www.walmart.com/browse/home/decorative-throws/4044_133012_5940644
"Home, Furniture & Appliances",Home Decor,Room Dividers,https://www.walmart.com/browse/home/room-dividers/4044_133012_1043781
"Home, Furniture & Appliances",Home Decor,Poufs & Floor Pillows,https://www.walmart.com/browse/home/poufs-floor-pillows/4044_133012_1157472
"Home, Furniture & Appliances",Home Decor,Rugs,https://www.walmart.com/cp/rugs/110892
"Home, Furniture & Appliances",Home Decor,Curtains & Window Treatments,https://www.walmart.com/cp/curtains-window-treatments/539105
"Home, Furniture & Appliances",Home Decor,Lighting & Light Fixtures,https://www.walmart.com/cp/lighting-light-fixtures/133113
"Home, Furniture & Appliances",Home Decor,Jewelry Armoires,https://www.walmart.com/browse/home/jewelry-armoires/4044_133012_1993067
"Home, Furniture & Appliances",Home Decor,Slipcovers,https://www.walmart.com/browse/home/slipcovers/4044_133012_1372968
"Home, Furniture & Appliances",Home Decor,Candles & Home Fragrance,https://www.walmart.com/browse/home/candles-home-fragrance/4044_133012_2622648
"Home, Furniture & Appliances",Home Decor,Home Accents,https://www.walmart.com/browse/home/home-accents/4044_133012_4204544
"Home, Furniture & Appliances",Home Decor,Shadow Boxes,https://www.walmart.com/browse/home/shadow-boxes/4044_133012_4970722
"Home, Furniture & Appliances",Home Decor,Vases,https://www.walmart.com/browse/home/vases/4044_133012_1043827
"Home, Furniture & Appliances",Patio & Garden,Grills & Outdoor Cooking,https://www.walmart.com/browse/grills-outdoor-cooking/5428_4089
"Home, Furniture & Appliances",Patio & Garden,Outdoor Heating,https://www.walmart.com/browse/patio-garden/outdoor-heating/5428_5026924
"Home, Furniture & Appliances",Patio & Garden,Garden Center,https://www.walmart.com/browse/garden-center/5428_4091
"Home, Furniture & Appliances",Patio & Garden,Outdoor Lighting,https://www.walmart.com/browse/patio-garden/outdoor-lighting/5428_4423804
"Home, Furniture & Appliances",Patio & Garden,Patio & Outdoor Decor,https://www.walmart.com/browse/patio-outdoor-decor/5428_1102183
"Home, Furniture & Appliances",Patio & Garden,Outdoor Shade,https://www.walmart.com/browse/outdoor-shade/5428_5593752
"Home, Furniture & Appliances",Patio & Garden,Outdoor Power Equipment,https://www.walmart.com/cp/outdoor-power-equipment/1102182
